INFO         | Android emulator version 37.1.11.0 (build_id 15917651) (CL:N/A)
INFO         | Graphics backend: gfxstream
INFO         | Found systemPath /usr/local/lib/android/sdk/system-images/android-34/google_apis/x86_64/
INFO         | Saving last run QEMU version for the AVD to 2
INFO         | Increasing RAM size to 2560MB
##############################################################################
##                        WARNING - ACTION REQUIRED                         ##
##  Consider using the '-metrics-collection' flag to help improve the       ##
##  emulator by sending anonymized usage data. Or use the '-no-metrics'     ##
##  flag to bypass this warning and turn off the metrics collection.        ##
##  In a future release this warning will turn into a one-time blocking     ##
##  prompt to ask for explicit user input regarding metrics collection.     ##
##                                                                          ##
##  Please see '-help-metrics-collection' for more details. You can use     ##
##  '-metrics-to-file' or '-metrics-to-console' flags to see what type of   ##
##  data is being collected by emulator as part of usage statistics.        ##
##############################################################################
INFO         | Guest GLES Driver: Auto (ext controls)
INFO         | emuglConfig_init: vulkan_mode_selected:swiftshader gles_mode_selected:swiftshader
INFO         | Checking system compatibility:
INFO         |   Checking: hasSufficientDiskSpace
INFO         |      Ok: Disk space requirements to run avd: `phase4` are met
INFO         |   Checking: hasSufficientHwGpu
INFO         |      Ok: Hardware GPU compatibility checks are not required
INFO         |   Checking: hasSufficientSystem
INFO         |      Ok: System requirements to run avd: `phase4` are met
WARNING      | Feature QuickbootFileBacked is disabled due to stability issues, if you really want that, the environment variable ANDROID_EMU_FORCE_QUICKBOOT_FILE_BACKED need to set to 1
INFO         | Storing crashdata in: /tmp/android-runner/emu-crash-37.1.11.db, detection is enabled for process: 2538
INFO         | Initializing gfxstream backend
INFO         | startOpenglesRendererImpl: gpu info
INFO         | 
INFO         | initIcdPaths: ICD set to 'swiftshader', using Swiftshader ICD
INFO         | Setting ICD filenames for the loader = /usr/local/lib/android/sdk/emulator/lib64/vulkan/vk_swiftshader_icd.json
INFO         | SharedLibrary::open for [/usr/local/lib/android/sdk/emulator/qemu/linux-x86_64/lib64/vulkan/libvulkan.so]
INFO         | SharedLibrary::open for [/usr/local/lib/android/sdk/emulator/qemu/linux-x86_64/lib64/vulkan/libvulkan.so.1]
INFO         | SharedLibrary::open for [/usr/local/lib/android/sdk/emulator/lib64/vulkan/libvulkan.so]
INFO         | Added library: /usr/local/lib/android/sdk/emulator/lib64/vulkan/libvulkan.so
INFO         | Selecting Vulkan device: SwiftShader Device (Subzero), Version: 1.3.0
INFO         | Using Vulkan externalMemoryMode: OpaqueFd for VkEmulation
INFO         | SharedLibrary::open for [libX11]
WARNING      | Could not open libX11.so, try libX11.so.6
INFO         | SharedLibrary::open for [libX11.so.6]
INFO         | SharedLibrary::open for [libX11-xcb]
WARNING      | Could not open libX11-xcb.so, try libX11-xcb.so.1
INFO         | SharedLibrary::open for [libX11-xcb.so.1]
INFO         | Initializing VkEmulation features:
INFO         |     glInteropSupported: false
INFO         |     useDeferredCommands: true
INFO         |     createResourceWithRequirements: true
INFO         |     useVulkanComposition: false
INFO         |     useVulkanNativeSwapchain: false
INFO         |     enable guestRenderDoc: false
INFO         |     ASTC LDR emulation mode: Gpu
INFO         |     enable ETC2 emulation: true
INFO         |     enable Ycbcr emulation: false
INFO         |     guestVulkanOnly: false
INFO         |     useDedicatedAllocations: false
INFO         |     guestVulkanMaxApiVersion: 1.3.0
INFO         |     enableProtectedMemoryEmulation: false
INFO         | Graphics Adapter Vendor Google (Google Inc.)
INFO         | Graphics Adapter Android Emulator OpenGL ES Translator (Google SwiftShader)
INFO         | Graphics API Version OpenGL ES 3.0 (OpenGL ES 3.0 SwiftShader 4.0.0.1)
INFO         | Graphics API Extensions GL_OES_EGL_sync GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_depth24 GL_OES_depth32 GL_OES_element_index_uint GL_OES_texture_float GL_OES_texture_float_linear GL_OES_compressed_paletted_texture GL_OES_compressed_ETC1_RGB8_texture GL_OES_depth_texture GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_OES_packed_depth_stencil GL_OES_vertex_half_float GL_OES_standard_derivatives GL_OES_texture_npot GL_OES_rgb8_rgba8 GL_EXT_color_buffer_float GL_EXT_color_buffer_half_float GL_EXT_texture_format_BGRA8888 GL_APPLE_texture_format_BGRA8888 
INFO         | Graphics Device Extensions N/A
INFO         | Disabling sparse binding feature support
INFO         | Sending adb public key [QAAAAJMUWvtl1pE7cTVFdIK5Meygkn6QzwEmSulbttE4tQ3ZirHe26QpR7pB2LyBENNuNyoM832biEyrLtVwA2XeIq1C1i7tmOLW1ZtnukaTgUyXUtjk5dCv/DwmI96+cgoXyNorCDaXw4ScvmPzDSTbr5RqHm9IWVWXqvQdfFOWXfzwpVSZRiNLdA64WsvM31aHmykIqERfRyytWsRG7vP+9ExcZpGamg0zuQrFbiXDXC3nlkNzUnD1/BDwbIWaQJ06+/rcPkSAYCRVXq4yMmXQdNzhqqfcqe3mRzgEkVnl5lLYXRU+p+pRNzMFD9YBzlKiipyVk2H1SVPiv5FkcRuqZRtPXqzIsNzXyfZgTfdCw7LCsxmAg1L5bhm1GwDYF61AZ20QY38KXm/SW8t37lW1OqqgX/l3KEPYo9dXXUQLSUGM5VXHcbjIoeKVpBtejtHV0ra/R3fxaMimYk/EOpOb4SBv4NkCYdRSAbcNpAbf521UcazBdTwcl2I21a1mpw9CQEsXka4KubCvJfx5ORd5CqbxF8ikU4phY/w36RrOHnp+nLtwKJbfA26DS/EmVlroQKOTX340TeKwNCUwdgrrv4lkbDq25CALK3Y+ldiXIl/bWo03H3rpD36faXotKANrL7IGWxMxSGOqvqoQNmyeogio196dUI9LOIlgAq3ZFNLj9KVNiAEAAQA= runner@unknown]
INFO         | Userspace boot properties:
INFO         |   androidboot.boot_devices=pci0000:00/0000:00:03.0 pci0000:00/0000:00:06.0
INFO         |   androidboot.dalvik.vm.heapsize=576m
INFO         |   androidboot.debug.hwui.renderer=skiagl
INFO         |   androidboot.debug.sf.nobootanimation=1
INFO         |   androidboot.hardware=ranchu
INFO         |   androidboot.hardware.gltransport=pipe
INFO         |   androidboot.hardware.vulkan=ranchu
INFO         |   androidboot.logcat=*:V
INFO         |   androidboot.opengles.version=196608
INFO         |   androidboot.qemu=1
INFO         |   androidboot.qemu.adb.pubkey=QAAAAJMUWvtl1pE7cTVFdIK5Meygkn6QzwEmSulbttE4tQ3ZirHe26QpR7pB2LyBENNuNyoM832biEyrLtVwA2XeIq1C1i7tmOLW1ZtnukaTgUyXUtjk5dCv/DwmI96+cgoXyNorCDaXw4ScvmPzDSTbr5RqHm9IWVWXqvQdfFOWXfzwpVSZRiNLdA64WsvM31aHmykIqERfRyytWsRG7vP+9ExcZpGamg0zuQrFbiXDXC3nlkNzUnD1/BDwbIWaQJ06+/rcPkSAYCRVXq4yMmXQdNzhqqfcqe3mRzgEkVnl5lLYXRU+p+pRNzMFD9YBzlKiipyVk2H1SVPiv5FkcRuqZRtPXqzIsNzXyfZgTfdCw7LCsxmAg1L5bhm1GwDYF61AZ20QY38KXm/SW8t37lW1OqqgX/l3KEPYo9dXXUQLSUGM5VXHcbjIoeKVpBtejtHV0ra/R3fxaMimYk/EOpOb4SBv4NkCYdRSAbcNpAbf521UcazBdTwcl2I21a1mpw9CQEsXka4KubCvJfx5ORd5CqbxF8ikU4phY/w36RrOHnp+nLtwKJbfA26DS/EmVlroQKOTX340TeKwNCUwdgrrv4lkbDq25CALK3Y+ldiXIl/bWo03H3rpD36faXotKANrL7IGWxMxSGOqvqoQNmyeogio196dUI9LOIlgAq3ZFNLj9KVNiAEAAQA= runner@unknown
INFO         |   androidboot.qemu.avd_name=phase4
INFO         |   androidboot.qemu.camera_hq_edge_processing=0
INFO         |   androidboot.qemu.camera_protocol_ver=1
INFO         |   androidboot.qemu.cpuvulkan.version=4206592
INFO         |   androidboot.qemu.gltransport.drawFlushInterval=800
INFO         |   androidboot.qemu.gltransport.name=pipe
INFO         |   androidboot.qemu.hwcodec.avcdec=2
INFO         |   androidboot.qemu.hwcodec.hevcdec=2
INFO         |   androidboot.qemu.hwcodec.vpxdec=2
INFO         |   androidboot.qemu.settings.system.screen_off_timeout=2147483647
INFO         |   androidboot.qemu.skin=320x640
INFO         |   androidboot.qemu.virtiowifi=1
INFO         |   androidboot.qemu.vsync=60
INFO         |   androidboot.serialno=EMULATOR37X1X11X0
INFO         |   androidboot.vbmeta.digest=451e57ed688ff746d2c636d52169ade253e2bc5bb30a5c3ff23679ca15d3bcd3
INFO         |   androidboot.vbmeta.hash_alg=sha256
INFO         |   androidboot.vbmeta.size=6656
INFO         |   androidboot.veritymode=enforcing
WARNING: cannnot unmap ptr 0x7f2333801000 as it is in the protected range from 0x7f2293800000 to 0x7f2333a00000
INFO         | Monitoring duration of emulator setup.
WARNING      | The emulator now requires a signed jwt token for gRPC access! Use the -grpc flag if you really want an open unprotected grpc port
INFO         | Using security allow list from: /usr/local/lib/android/sdk/emulator/lib/emulator_access.json
INFO         | The active JSON Web Key Sets can be found here: /run/user/1001/avd/running/2538/jwks/095d02c4-8b49-4e59-a1a6-f1375004ee88/active.jwk
INFO         | Scanning /run/user/1001/avd/running/2538/jwks/095d02c4-8b49-4e59-a1a6-f1375004ee88 for jwk keys.
INFO         | Started GRPC server at 127.0.0.1:8554, security: Local, auth: +token
INFO         | Advertising in: /run/user/1001/avd/running/pid_2538.ini
INFO         | Successfully initialized netsim WiFi
INFO         | Activated packet streamer for bluetooth emulation
INFO         | Setting display: 0 configuration to: 320x640, dpi: 160x160 
INFO         | setDisplayActiveConfig: id:0, 320x640
INFO         | emulatorSetupEnvironment: Environment scene is not required
USER_INFO    | Emulator is performing a full startup. This may take upto two minutes, or more.
WARNING      | Failed to process .ini file /home/runner/.android/emu-update-last-check.ini for reading.
WARNING      | Failed to process .ini file /home/runner/.android/emu-update-last-check.ini for reading.
INFO         | Boot completed in 40054 ms
INFO         | Increasing screen off timeout, logcat buffer size to 2M.
